# a virtual module list for leakage correction
# The coordinates for the HyCal is a right handed Cartesian frame, its z points
# surface to the back, and its origin is at the center on HyCal PbWO4 surface
#   name      type  size_x  size_y  size_z           x           y           z
   OUTER   PbGlass   38.15   38.15     450     601.065      85.975      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065      47.825      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065       9.675      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     -28.475      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     -66.625      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -104.775      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -142.925      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -181.075      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -219.225      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -257.375      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -295.525      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065    -333.675      -101.2
