    REF_GAIN    0.521074     1.23093    0.246226           2
        G483     502.083     1.64094     2255.88     63.6471           0
        G484     623.532     1.44795     3782.03      91.776           0
        G485     618.378     1.29325     3237.65     76.9697           0
        G486     395.983     1.25105     2103.91     58.6447           0
        G505     378.052     1.09393     5807.17      137.18           0
        G506     311.332     1.58222     6662.78     144.212           0
        G507     596.472     2.09813     1778.68     68.9472           0
        G508       386.1     1.76038     3763.92     109.348           0
        G509     419.679     1.47772     4479.43     122.902           0
        G510     533.072     1.51916     4727.26     126.874           0
        G511     492.692     1.30441     3390.06     91.8909           0
        G512     293.726     1.25714     3362.92     76.1781           0
        G513     404.159     1.29303     2666.82     72.4132           0
        G514     496.363     1.02507     3349.15     93.7999           0
        G515     469.832     1.43884     3886.61     106.253           0
        G516     382.005     1.32793     2495.67     62.5713           0
        G535     351.052      1.4192     4446.45     136.427           0
        G536     442.014      1.4936     4778.82     126.084           0
        G537     428.673     2.10436     5714.31      129.28           0
        G538     336.626     1.39637     4561.84     158.691           0
        G539      474.41     1.51772     4864.39     110.647           0
        G540     565.212     1.43309     3226.44     102.241           0
        G541     542.604      1.5414     4019.88     104.488           0
        G542     602.607     1.39701     3634.65      98.031           0
        G543     372.831     1.30253     3754.23     92.8913           0
        G544      508.29     1.38349      3659.5     77.1943           0
        G545     390.601      1.1913     4208.59     105.674           0
        G546     531.544     1.14302     3896.12     117.961           0
        G565     435.157     1.43309      3898.2     139.563           0
        G566      541.07     1.55511     6317.62     186.705           0
        G567     388.705     1.51495     4404.27     115.524           0
        G568     474.377     1.23222     3891.62     139.572           0
        G569     361.284      1.4607     3990.22     145.503           0
        G570     512.986     1.52957     4714.04     132.878           0
        G571     500.783     1.51298     3963.71     119.112           0
        G572     462.152     1.35012        3722     98.1564           0
        G573     377.246     1.33226     2550.18     81.3371           0
        G574     440.174     1.17922     5483.73     162.033           0
        G575     336.317     1.17054     3490.06     93.6064           0
        G576     335.431     1.17422     2811.61     81.5116           0
        G595     409.813     1.61574     4039.12     143.771           0
        G596     494.542     1.68571     5351.31     142.218           0
        G597     521.468     1.51707     6955.19     236.719           0
        G598     564.888     1.53905     5981.04     186.089           0
        G599     297.989      1.4437     5855.34     182.067           0
        G600     416.006     1.46067     2808.83     117.798           0
        G601     403.538     1.12165     3751.12     86.3975           0
        G602     341.751     1.37832     3809.35     99.6313           0
        G603     644.975     1.24348     3320.89     78.3502           0
        G604     479.149     1.30634     3455.87     73.5735           0
        G605     457.791     1.21471     4989.55     106.934           0
        G606     395.176     1.18377     6636.86     151.645           0
        G625     478.595     1.39347     6363.57     197.824           0
        G626     310.148     1.40723     6707.02     236.272           0
        G627     505.057     1.51973     5369.93     129.788           0
        G628     416.393     1.35206     4329.23     140.038           0
        G629     452.239     1.26952     5843.97     164.685           0
        G630     486.001     1.36698     5335.08     140.172           0
        G631     342.974     1.26216     3843.43      117.02           0
        G632     464.048     7.65511     5729.28     132.458           0
        G633     493.945     1.22123     3319.22     89.1015           0
        G634     526.224     1.18533     4112.82     122.925           0
        G635     579.997     1.48193     3998.92     102.911           0
        G636     408.582      1.3966     3522.41     92.8547           0
        G655     495.086     1.47223     6353.27     148.053           0
        G656     446.805     1.69522     3944.21     129.956           0
        G657     442.422     1.44744     4248.32     126.937           0
        G658     455.121     1.66874     5730.19     164.048           0
        G659      579.76     1.67561     3970.96     116.889           0
        G660     562.758     1.85094      4171.8     123.639           0
        G661     627.277     1.49504     3613.95     77.3704           0
        G662     469.014     1.30104     3424.42     82.7579           0
        G663     385.626     1.29771     4071.38     93.4219           0
        G664     346.579     1.25083     2844.49      74.546           0
        G665     472.145     1.44643     3596.28     95.2975           0
        G666     510.809    0.926953     3357.62     81.8597           0
        G685     556.769     1.51848     4765.79     134.557           0
        G686     519.083     1.61296     4171.38     131.584           0
        G687     392.724     1.49051     3965.05     160.121           0
        G688     373.438     1.69845      5345.5     147.862           0
        G689     421.296     1.51226     6072.81     148.199           0
        G690     421.832     1.57863     6157.86     184.348           0
        G691     539.874     1.37075     2664.97     87.1399           0
        G692      580.32     1.27844     2555.68     81.6991           0
        G693     606.507     1.26854     4155.21     89.2309           0
        G694     438.063     1.37665     3669.41     99.5349           0
        G695     327.993     1.30449     4597.09     119.797           0
        G696     349.464     1.11597     5132.61     120.764           0
        G715      508.51     1.49161     6547.98     149.322           0
        G716     476.078      1.4529      6755.1     149.643           0
        G717     514.318     1.39812     5976.61       173.1           0
        G718     571.664     1.67825     5072.85     147.717           0
        G719       422.3     1.36467     4479.59     129.691           0
        G720     452.658     1.49881     4870.52     149.216           0
        G721     470.771     1.42602     3133.42     84.4409           0
        G722     438.163     1.30419     3786.07       114.3           0
        G723     559.022     1.26374      3957.5     91.8239           0
        G724     472.232     1.26048     7199.88     233.305           0
        G725     515.177     1.58519     4151.68     109.886           0
        G726     632.082     1.49074     4663.36     114.397           0
        G727     359.618     1.03768      2941.4      90.656           0
        G728     377.602      1.3068     2205.16     86.9912           0
        G729      414.52     1.30903      2995.3     84.5707           0
        G730     503.306     1.26995     2381.56     69.7842           0
        G731     538.358      1.2506     2902.34     74.3664           0
        G732     445.234      1.2897     1843.96      47.752           0
        G733     349.367     1.24711      2744.9     72.4953           0
        G734     308.926     1.46107     3389.75     92.1546           0
        G735     346.851     1.40718     3059.54     79.2799           0
        G736     528.327     1.12868     3089.13     78.5138           0
        G737     447.426     1.33326     3529.19     83.4276           0
        G738     565.857     1.44645     3283.28     79.0775           0
        G739     402.324     1.40022     2906.14     78.4134           0
        G740       571.4     1.45668     3133.16     69.3482           0
        G741     479.652     1.37542     4040.44     78.5639           0
        G742     353.325     1.13129     2772.57     82.0696           0
        G743     293.529      1.2506     2903.14     64.6603           0
        G744     361.009     1.17052     7400.18     159.025           0
        G745     441.279     1.11193      1343.5     48.0891           0
        G746     480.903      1.4364     3369.18      91.112           0
        G747     555.962     1.28289      4556.7     119.429           0
        G748      522.79     1.43114     3244.59     86.5693           0
        G749     564.771     1.58814     2945.11     91.2261           0
        G750     567.557     1.40453     3921.87      129.27           0
        G751     529.731     1.59817     3275.13     77.7179           0
        G752      683.74      1.6753     3405.35     76.1003           0
        G753     409.293     1.37841     2669.84     86.8401           0
        G754      327.04     1.22551     4299.59     128.297           0
        G755     426.846     1.27132     3800.07     109.692           0
        G756     389.628     1.15828     3878.24     96.1106           0
        G757     489.217     1.38051     4050.36     104.329           0
        G758     457.718     1.63734     4280.21     110.199           0
        G759     453.508     1.37663     2069.78     69.7369           0
        G760     550.163     1.42319     1886.55      58.812           0
        G761     497.795     1.34224     3958.42     100.294           0
        G762     254.544     1.18982     3478.15      122.42           0
        G763     384.525     1.59684     3632.12     106.547           0
        G764     430.296     1.63067     1909.09     58.8101           0
        G765     392.358     1.31425     3437.02     102.818           0
        G766     645.968     1.49846     4889.21     93.7105           0
        G767     629.177     1.70833     4273.54     100.547           0
        G768     423.599     1.43978     2440.79     72.0571           0
        G769     482.766     1.31921     3376.75     77.3999           0
        G770     571.904     1.33686     2887.62     72.0476           0
        G771     453.163     1.21641     3458.69     75.5701           0
        G772     451.401     1.23556     2881.32     90.0289           0
        G773     440.607     1.42723     3569.89     88.0691           0
        G774      433.02     1.28258     3736.03     105.165           0
        G775     575.276     1.19501     648.302      3.0557           1
        G776     595.241     1.56936      3671.9     75.4106           0
        G777      404.37     1.53089     2113.18     74.4598           0
        G778     430.743     1.39077     2690.27     65.2343           0
        G779     445.918     1.30068     2602.84     84.1907           0
        G780     415.623     1.16957     2352.17     67.9572           0
        G781     568.258     1.44838      4523.7     104.859           0
        G782     511.457     1.40566      3205.8     89.6869           0
        G783     404.116     1.57529     4025.56     120.819           0
        G784     464.877     1.27782     2858.22     71.0787           0
        G785     268.487     1.50842     3846.74     95.5876           0
        G786     419.387     1.38177     3670.41     90.5516           0
        G787     378.475      1.3138     4311.61     95.7394           0
        G788     357.681     1.35037     2615.92     67.7519           0
        G789     437.813      1.1532     3840.34     95.4302           0
        G790     339.388     1.28389     2217.74     81.8256           0
        G791     406.008     1.30818     2606.11     69.0659           0
        G792     502.655     1.11189     2722.04      68.309           0
        G793     312.846     1.54525     3552.78     100.271           0
        G794     285.638     1.62606     2681.47     84.2094           0
        G795     362.818      1.3111     4098.45     95.4663           0
        G796     372.437     1.67099     3886.34     95.3654           0
        G797     527.859     1.53785     3020.15     79.1421           0
        G798     402.744     1.31176     3217.16      89.236           0
        G799     234.999     1.34215      3248.1      83.108           0
