    REF_GAIN           0     1.08786    0.228362           3
        G273      448.47     2.22428     1883.31     45.2179           0
        G274     508.297     2.34097     1905.91     45.1623           0
        G275     568.048     3.33638     1909.25     53.9637           0
        G276     403.872     3.26065     2267.19     60.4842           0
        G295     470.747     2.79023     2965.07     67.5804           0
        G296     472.623       3.257     2940.67     69.3728           0
        G297     587.265     2.41662     3827.41     103.567           0
        G298     633.247     3.16914     2760.82     95.1944           0
        G299     463.886     2.59199     2493.66     60.8937           0
        G300     547.215     2.63225     2309.05      65.582           0
        G301     614.981     3.37129      2794.3     55.3786           0
        G302     481.115     2.80874     1774.07     58.6477           0
        G303     304.749     2.95654      1681.9     47.6027           0
        G304     432.515      2.8026      1236.5     37.1234           0
        G305       389.9     2.79453     1727.38     44.9453           0
        G306     433.063     2.51258     1620.97     45.9395           0
        G325     521.684     2.01037     3280.33     90.7791           0
        G326     558.231     3.27919     2588.21     72.0976           0
        G327     424.572     2.35692        2497     62.9714           0
        G328     367.483     2.57113     2418.47     70.0703           0
        G329     396.258     2.87338     2752.46     72.8199           0
        G330     428.202     2.46989     3545.23     81.7812           0
        G331     462.566     2.94871     2721.04     64.1596           0
        G332     480.784     2.84869     1751.52      51.476           0
        G333     642.932     3.11599     2149.41     45.3061           0
        G334     526.249     2.61529     1740.06     42.3705           0
        G335     382.568     2.63366     1868.13     46.7721           0
        G336     320.491     2.65325     1414.98     50.6306           0
        G355     597.504     2.93076     2949.91     65.6619           0
        G356     524.703     3.10507     4102.41     93.9733           0
        G357     622.416     2.51729     3278.87     87.2476           0
        G358      529.97     2.83818     2545.47     101.473           0
        G359     393.089     2.22387     1871.13     75.1131           0
        G360     352.464     2.60398     2380.16     67.6287           0
        G361      427.49     2.69303     2100.25     56.9781           0
        G362     499.922      2.6825     1974.63     50.8189           0
        G363     599.242     3.45781     1409.37     36.7779           0
        G364     572.941     2.98551     1739.59     66.4582           0
        G365     463.298     3.41984     1756.23     48.5725           0
        G366     391.905     3.04179     1857.84     45.0207           0
        G385     412.602     2.78996     2298.17     73.2534           0
        G386     433.087     3.19883     579.744     17.5041           0
        G387     549.547     3.64082     2315.22     64.2685           0
        G388     550.224     4.00789     3001.23     66.5483           0
        G389     585.856     2.66324      2699.6     81.4955           0
        G390     600.511     2.98478     1964.12     54.3498           0
        G391     490.576     3.01472     1947.85     51.9844           0
        G392     328.308     2.93743     1871.92     57.5473           0
        G393     488.718     2.64178      2154.1     75.4618           0
        G394     405.275     2.54014     1872.58     49.0871           0
        G395     515.312     3.21398     1925.04     41.4404           0
        G396     498.016     2.93608     2453.69      52.737           0
        G415     491.954     3.68144     3886.19     102.583           0
        G416     487.797     3.65685     2805.54      72.464           0
        G417     483.436     3.05244     2374.18     78.0972           0
        G418     506.349     3.51148     2377.35     64.6091           0
        G419     520.266     3.02996     2724.44     77.2461           0
        G420     516.429       2.905     3268.94     72.1343           0
        G421     508.119      3.0037     3589.99     82.3766           0
        G422       618.4     2.46025     2791.99     61.4376           0
        G423     354.037     2.89378     2208.76     56.6721           0
        G424     427.806     2.72179     1958.63     48.9064           0
        G425     450.263     2.55654     2149.09     49.1568           0
        G426     474.303     2.47977     1529.47     32.8252           0
        G445     503.484     3.10169     3070.69     67.4701           0
        G446     493.454      3.8829     3026.18     91.6567           0
        G447     387.878     3.12736     2498.06     67.2375           0
        G448     426.772     3.43547     2215.99     71.8003           0
        G449     453.897     2.85813     2715.62     67.6954           0
        G450     447.674      3.0595     2779.38     92.8493           0
        G451     697.813     1.77362     1991.26     42.8094           0
        G452     674.537     1.53587     2829.74     66.6391           0
        G453     685.594      1.5081     2254.74     50.5185           0
        G454     688.995      1.5205     2754.57     60.5367           0
        G455     582.837     1.35653     3051.73     55.2429           0
        G456     577.672     1.43249     2275.57     52.5056           0
        G475      513.93     3.20232     3566.43     91.2846           0
        G476     479.622      3.0438     3429.71     116.861           0
        G477     500.989     2.70551     2227.25     75.4226           0
        G478     484.525     3.30847     2284.85     83.2559           0
        G479      290.99     2.79378     1225.92     52.2999           0
        G480     438.318     3.01449     2480.15     78.8041           0
        G481     362.703     1.51715     2004.61     60.0311           0
        G482     580.155     1.29412     2501.05     53.8797           0
        G483     656.845     1.68697        1537     33.1483           0
        G484     662.468     1.46071     2227.17      50.445           0
        G485     632.992     1.31431     1964.52     42.9699           0
        G486     642.699      1.3552     1460.65     28.7478           0
        G505     380.444     1.07799     3304.51     84.8592           0
        G506     315.444     1.59018     3762.63     87.9719           0
        G507     603.191     1.89886     1208.73     35.5223           0
        G508     387.021     1.77797     2163.16     64.3662           0
        G509     421.873      1.5044     2522.35     69.8274           0
        G510      536.04     1.47411     2736.78     75.8994           0
        G511     527.721     1.42581     2020.24     52.6165           0
